id,food C,food F,money C,money F,music C,music F
AB,0.9756302604006272,0.8254153836461304,0.9974540319094664,0.9961645950715948,0.9809754363727636,0.9959645209021484
AD,0.6646852300008803,0.1168734405221213,0.9429502896650354,0.5880198518804596,0.8340311493341901,0.3252026818459997
AF,0.1737475826762036,0.017957195866021673,0.4718153586628039,0.010260570986099657,0.3267238039698656,0.4749849448911727
AH,0.6219175633479066,0.8343051500642713,0.7346151545417331,0.9602324173351776,0.6364435027498514,0.7224343898946144
AK,0.7431743727520524,0.3161369915129473,0.5893217743072823,0.5980502198976693,0.8383812703149001,0.7013181158031526
AT,0.4512230546427045,0.06433345102005426,0.9358439812248492,0.3706947243713401,0.7132554416719044,0.06296425484312412
BD,0.16681593316293078,0.2908668831680129,0.869846651480273,0.5528056115282061,0.1563596960233073,0.5072087078526248
BF,0.9645837274650991,0.4805905733771123,0.9783518011462872,0.9822305630572594,0.9275532255985974,0.582685688955491
BJ,0.23020892551961514,0.31285879511153203,0.977743010029094,0.8220619766228902,0.8055210243567512,0.7458562375156297
CC,0.7021854072799563,0.0017045196317689412,0.5491648483672316,0.4265394721101329,0.4912441027713889,0.4000574892936789
CF,0.3630492586044728,0.2251307919786117,0.8232789707033056,0.4238911231653736,0.4684562257904087,0.4397507047781733
CL,0.9007237290309098,0.6063849072562907,0.8850966356790313,0.6966414366196365,0.8644764481802749,0.7067996881448787
CM,0.26663873883637523,0.17792013535484535,0.4867012239119447,0.4482725531484284,0.2890925839464566,0.22292473160152285
CV,0.9873994959110954,0.2122929689439844,0.9984387535583252,0.9905708779770388,0.9483174392236736,0.9905691235871608
DCRD,0.973630104465181,0.001683736794039185,0.9872621266566358,0.9859906120391626,0.9834216451937324,0.9857825864029106
DD,0.4846777873809221,0.30277440770886965,0.9368706194517988,0.8091322532776862,0.9584742136370964,0.6914874722789848
DG,0.9917936108062384,0.5296167476455567,0.5613799938151258,0.7469541606532317,0.6487468104959299,0.4160697237770801
DN,0.9959156999714216,0.9946174283919392,0.9990284977862172,0.999045134865458,0.9990427680455264,0.9990615473351891
EM,0.9602743141532656,0.09885173335571776,0.996871955104038,0.9965718219130824,0.7439470220299942,0.7429080721049733
ER,0.9981075695434778,0.6741125727720457,0.9971069346920072,0.5432741628925355,0.992166610015678,0.5075871870304078
FD,0.03823531414344802,0.33930308540284604,0.4661233076382806,0.416530320967932,0.4990908150235666,0.2702311295696254
GA,0.4942056091737525,0.235160402183081,0.8800970019698857,0.8894920457660963,0.6311718771222723,0.6240617639788681
GW,0.9045584652047672,0.4079215392904316,0.8404699132473619,0.7344172316208357,0.8314576256558677,0.9119041853666708
JB,0.9885978026329444,0.020443870531827488,0.9976811094198392,0.9908930733675853,0.025288189583967932,0.07596191971738414
JD,0.4715382267241742,0.021576467048604747,0.7757173054841564,0.773357569917568,0.746045832170001,0.7345709356461249
JDA,0.4915712929530594,0.4087225893572224,0.8318132318101881,0.39863253562001344,0.7689242753459606,0.4967793020411456
JL,0.9877527688536422,0.23871748493530415,0.9809214655636036,0.8466831781646549,0.9871002484197176,0.9379742960743684
JLN,0.4295613483042412,0.2620396629709761,0.4731244714842896,0.5811200643354628,0.462470184199669,0.375214156073596
JSL,0.5042694695743907,0.17252781657930252,0.4727911479360042,0.7940566496151883,0.5953757700160945,0.4719380065449698
KM,0.8912284104338867,0.2030809135587227,0.8567692059925782,0.8365132979198919,0.7262470255606688,0.7498568325435252
LD,0.9287965426524276,0.18275938053301855,0.7936593908004433,0.9453794790098198,0.939193376427957,0.9500067293280962
LG,0.6701732153049218,0.3651985456269713,0.5855698427548083,0.4134701874002963,0.5984504963248346,0.5305571446885688
LS,0.8541935613671645,0.8719593448839074,0.929107919450793,0.9221492223339259,0.9340850427398324,0.9360727149731486
MH,0.5117383307829537,0.4676844222055835,0.6130996409582824,0.4630554633834119,0.4788681084114283,0.4690840039654626
MK,0.6473058073772725,0.3783550577360915,0.9817335597621116,0.9435182538590551,0.9114741425886208,0.8223907340576019
ND,0.5896400276326481,0.07603138517383999,0.9427674108175336,0.941008368647832,0.6194671803347924,0.5053437104124086
NG,0.9249301851739252,0.026878927261033626,0.9820163332951156,0.5088142976624008,0.6319195977665935,0.2948659398881888
PF,0.9145416004829136,0.9390147993583284,0.9004917593253905,0.9079054443241948,0.8783824315502493,0.9510613112461086
RD,0.3880370058033736,0.10333147258299442,0.9167312529852732,0.8423894372177784,0.9168342524323104,0.7942614075993769
RR,0.2881622363064362,0.0775223225779402,0.6909177055087257,0.8191748671451347,0.8268272674939343,0.35347925418301
RV,0.947276034166264,0.02245420208221116,0.7670624026266564,0.7654589703207417,0.3191879123858747,0.5544430443754957
SA,0.444489290010079,0.3347309761534713,0.2398487922682196,0.21703224049009984,0.5479519058214162,0.2721006169068765
SD,0.9540375177932172,0.25591523031233304,0.9387059909517016,0.7471585783651268,0.8935999424187775,0.2921953752566068
SE,0.9047836760882888,0.04989836658356907,0.2493047859979465,0.2282180234467113,0.9679946290766992,0.19743191582164504
SG,0.9981408865683816,0.998054130668354,0.4860114174534894,0.16581094147220374,0.9990580815678488,0.9986291861733272
SP,0.8940768051855656,0.1974971050279956,0.3090653303552401,0.19862612692336926,0.29176044054153283,0.27316422742911994
VB,0.9445153055129684,0.24158835597519254,0.982565608862508,0.9781139870957988,0.8768315071180328,0.2425834362326092
VS,0.36288643194327896,0.2833538830536002,0.6614259524743675,0.4225931558331187,0.4641381824728827,0.4366818476689981
YVH,0.7410548160722843,0.0016758302463775775,0.9856131709135176,0.0013426633874012374,0.31488903276133223,0.001698689954522338
ZZ,0.15006609589141118,0.05227267388515679,0.32474498064477364,0.11971000563205288,0.2996891256063031,0.1488245641014341
