id,food C,food F,money C,money F,music C,music F
AB,-6.389567917097549,-4.19763717469117,-8.677895553761719,-8.266406748228063,-6.644464052317116,-8.215288914866308
AD,-3.2567535495573563,-0.02890313725915193,-5.49356200774768,-2.888132255114112,-4.262081866994866,-1.6142966394957092
AF,-0.6002027877641579,2.3794539303163806,-2.348279842899536,3.0637763234097823,-1.6226548535950025,-2.363139283674028
AH,-3.0483685567000034,-4.264171810152939,-3.623680432058768,-5.878647384664464,-3.1182043138985507,-3.5565552609169027
AK,-3.671880962148101,-1.564002450225798,-2.8942308260234704,-2.9352172336645905,-4.295573616849427,-3.4437708364270683
AT,-2.251145881995458,0.7761246863911945,-5.3660815469035255,-1.8555907837124317,-3.5070087584816365,0.8042384456374091
BD,-0.5397094022806559,-1.4190216904314663,-4.561199781831075,-2.7242548375354616,-0.44448600972716207,-2.51322043626537
BF,-6.000556261653188,-2.389368545207521,-6.5117019882887694,-6.714419920577308,-5.232683780078757,-2.8631821832205335
BJ,-1.0332880400465116,-1.545605649568834,-6.483138196625036,-4.173187684086343,-4.057220779938628,-3.6871727018659737
CC,-3.4483225712300802,5.762810408158777,-2.707393220038372,-2.1330030573410492,-2.4390597890948884,-2.0035071948394267
CF,-1.816175225438993,-0.9978698331351404,-4.182021475862143,-2.1201930630829477,-2.332507531613416,-2.1965002442631967
CL,-4.878500674300804,-2.974535368184609,-4.708986489243191,-3.4193359837153787,-4.512514074878774,-3.4726495753309177
CM,-1.2722472484893312,-0.6356903464493928,-2.4178937061533663,-2.2371320613543486,-1.4085503218438984,-0.982300107430038
CV,-7.065161227536162,-0.9056156380877044,-9.16823768402264,-7.359370665164257,-5.599931739739642,-7.359182260227863
DCRD,-6.307950799912245,5.793196407084719,-7.05413283009348,-6.957266535248718,-6.78541781214443,-6.942245348336399
DD,-2.40845535368387,-1.488270029945117,-5.38367493245948,-4.081922545436521,-5.832941357497813,-3.3926139075040687
DG,-7.4999054466440205,-2.6169543650929272,-2.7640082839573696,-3.693460033859064,-3.1780650972597804,-2.0821888989392985
DN,-8.20319822303416,-7.925443066659533,-9.643421243026543,-9.66071688463784,-9.658238097230074,-9.678076481157623
