id,food C,food F,money C,money F,music C,music F
AB,0.957084022000448,0.75703812383263,0.9843481191590308,0.9898704041211503,0.9201987599426756,0.9863159361617728
AD,0.6469836221823873,0.07541132751635715,0.9456127416020472,0.4950670409319906,0.8232283423721372,0.2717584815516336
AF,0.13156918339243098,0.007656830535356214,0.4319841404342869,0.0045049571019773645,0.2727461556734095,0.410858296460682
AH,0.6014580909940292,0.7962229304724284,0.733856479934708,0.9455018035295992,0.6214025765544422,0.7092411119965479
AK,0.7228211950480934,0.2686009332040716,0.4969025192947859,0.4937864549992334,0.7196324603848413,0.650935216607041
AT,0.4074534147215809,0.039729285191093575,0.9211705634769026,0.32701797631231483,0.7045370351529173,0.03820429319350878
BD,0.1261108835538329,0.2427198921893077,0.8681488645772846,0.5313423311289125,0.1290372721259182,0.4449335127223126
BF,0.8538552831014876,0.4532163539066264,0.9580803405029344,0.9535082226169276,0.8065116137182684,0.5405988618146071
BJ,0.22155573298787687,0.2673429234548074,0.7884799742608963,0.8146387242090494,0.7299796796354656,0.7397824019530643
CC,0.6635537406632335,0.0010790574174019154,0.5257289421463749,0.3803053450018576,0.4638474080453296,0.353558777444698
CF,0.31081086446321554,0.1791385539203303,0.6956038578461184,0.3762331368249952,0.4337179797118359,0.3993728199400289
CL,0.8964925581774921,0.5290906842464109,0.7011134508617165,0.609167463233276,0.7514765892028651,0.5492687767661115
CM,0.21993893869239228,0.1337197341664281,0.4505331984162467,0.4110464125114086,0.24086661367444664,0.17527758056802678
CV,0.9301353202078492,0.18629559369302676,0.9943115468644506,0.9834380112461234,0.8894521147298757,0.9420515959096044
DCRD,0.90006995964488,0.0010741857360652568,0.956699518806616,0.9580263922632324,0.9718671871959259,0.9289744028079132
DD,0.4540078751669165,0.25316563062864444,0.9289889776680244,0.6912425707569696,0.8995410890153962,0.6586953386533736
DG,0.9641979933550949,0.5040631341787811,0.5069384972084732,0.6046544908044702,0.5675171299623344,0.3753378651821378
DN,0.9881070773831484,0.9885938788438732,0.9966110305775682,0.9966680586332568,0.9964789642095916,0.9969217578562136
EM,0.9448335331224488,0.06340519575622988,0.9929870321640542,0.9900978398272262,0.6263558322190708,0.6980203464376625
ER,0.9942126396561628,0.6238473025483922,0.9910935982831368,0.4641303186290482,0.9760509528354331,0.4849512039189848
FD,0.022519557342051792,0.2853616437604236,0.4354650358535945,0.37005952651248575,0.4709363780345206,0.22361112631626925
GA,0.4605267202037902,0.18809982405075584,0.7835161544793128,0.8815154677690314,0.5975409553396502,0.5811380803681826
GW,0.8541098717718947,0.3588240201778766,0.8019905905317705,0.6329459061671575,0.7969067484925191,0.8317052188623679
JB,0.9683316494685448,0.008550576161329981,0.9913585604250662,0.9691051842412506,0.010660968476926852,0.037901328297053935
JD,0.4407615926590632,0.009824591111551314,0.693567203247111,0.6998888894209396,0.6370458937050801,0.6169788524102349
JDA,0.4410337323633054,0.3521589568076302,0.8281178947344752,0.3426367536520407,0.6825433678189095,0.4166271836414372
JL,0.9558212074665412,0.1941893884507188,0.9454998788630512,0.7775003377823035,0.976258969440614,0.9252238411167888
JLN,0.38632124731319817,0.21259143032567732,0.4382934399909057,0.5516267330785454,0.42449470119111055,0.3281447912157851
JSL,0.4548784023724018,0.13081231347342195,0.4294443124301019,0.7400617746211797,0.5630358827773698,0.4163461232500703
KM,0.8869437547736392,0.15925542565880815,0.7953412445316387,0.8346362985382594,0.6785639514230366,0.7307214698244338
LD,0.9293377231194146,0.13760739464036684,0.7726736895576207,0.933767509924482,0.9307404788746908,0.9236498517209976
LG,0.6413504550888702,0.31912602310904725,0.5463851577581615,0.3683253870400437,0.5707366403222662,0.4820686286702313
LS,0.8486636213111469,0.8382502252267894,0.9183157719859572,0.9213031815922172,0.9207984733878868,0.9361994922313652
MH,0.4487176634676712,0.4351674781714516,0.5641735242746173,0.4023278709156344,0.4472157184086996,0.4185527055247584
MK,0.593817739058202,0.32605710613069205,0.9517805456626051,0.8651745260738408,0.8656028059046241,0.7344911115985968
ND,0.5641634062908873,0.0613467211320546,0.94544484411814,0.9337534387849667,0.6029614930737194,0.4719736228114703
NG,0.8729783238530413,0.01253279500881267,0.9754312969676612,0.4347331967364755,0.580515021732708,0.24203135535256015
PF,0.9093721646896759,0.9264192045899694,0.9032301896605686,0.9075158730107804,0.7947555927497312,0.9355261440788464
RD,0.33576367012261965,0.07118857311971924,0.8434729280209374,0.7762374249779807,0.8260320303279801,0.7313028678961757
RR,0.2413537773873486,0.050052625948088826,0.5895245180151353,0.7317473551087981,0.7982697845557567,0.3043971807623146
RV,0.9315848021271276,0.011494377346823742,0.7138640965844347,0.7453272320255443,0.27124425346697634,0.5222054147075736
SA,0.399296715403596,0.28141650792374323,0.1946426300784453,0.16951787839990726,0.4865377034411877,0.21525134686439049
SD,0.9445659567670809,0.2058748819446624,0.9169509255060242,0.7442547130775692,0.8350551154576411,0.24368645196852395
SE,0.8764612196157131,0.031061686958162686,0.2031880107227208,0.17533665962183695,0.8651142583544781,0.15235799912145964
SG,0.9945154768786292,0.9946076558603674,0.429371340553506,0.12000805479305117,0.9967271351257097,0.9949967973034513
SP,0.8389894509096728,0.15314514443869978,0.2614955014277316,0.1512922111690323,0.24627011904409074,0.2289374154346255
VB,0.9193476726152522,0.19032480216113826,0.8301057930282714,0.9355866233586349,0.8620779040424517,0.1940941171115669
