id,commodity,condition,model,log_loss,AUC,WAIC,roc_auc,k
JL,food,C,Exponential,0.1562047038462333,0.9890941904312138,13.885116460842267,0.982722098214286,0.0007323885775822652
BJ,money,C,Exponential,0.30304191031062655,0.982028696167664,25.247291247000522,0.9478293425324675,0.0012126596064836392
PF,food,C,Exponential,0.2855076695591418,0.9351313976297891,24.150502199167114,0.9498779761904763,0.004522336546274932
LS,money,C,Exponential,0.40088814666074035,0.9494182900173049,31.816974623903974,0.8818052884615386,0.003490849756437214
DN,money,C,Exponential,,0.9991149481493353,1.7142437367716372,,5.903829655753801e-05
BF,food,F,Exponential,0.3051024012025715,0.45540593327922096,24.12654843697494,0.9428261904761907,0.06169604180570687
KM,music,C,Exponential,0.33654671836290917,0.749481630864891,27.376279391876896,0.9335474837662335,0.020246584303252768
SP,food,F,Exponential,0.48860981308575946,0.09256814394704832,38.85016273043517,0.8658281772575251,0.36010182230748206
RV,money,F,Exponential,0.32633145726478285,0.8051099505747825,26.825428907047037,0.9457687693498451,0.01501439674464552
CM,music,F,Exponential,0.37413796958131507,0.1235783805719803,29.600439642314328,0.914105859375,0.2696575287736381
FD,music,C,Exponential,0.20233481729824937,0.46646659769247867,17.806449367685712,0.9853610681114549,0.05945097884831683
RR,money,F,Exponential,0.46494376942005966,0.8363146378561597,37.09404774067877,0.8586773809523811,0.012294131495415013
RV,food,F,Exponential,0.5863082988853665,0.033259365941618116,43.5175325963387,0.8465967078189301,1.0025273396670051
SE,music,F,Exponential,0.3347216877622117,0.10464865813479816,27.27326482663146,0.9196581818181817,0.31851331714843695
EM,food,C,Exponential,0.28502529372797264,0.9697156435202321,24.557688934929207,0.9495614149305559,0.00206077684831039
RR,food,F,Exponential,0.4025364586657672,0.03867766115989082,31.438961858664047,0.870022633744856,0.8620167957741685
LG,money,F,Exponential,0.421910997068008,0.33478379793084145,33.014185860741364,0.893141253869969,0.09355190362796403
DD,food,F,Exponential,0.35113486688738926,0.20550932510226058,28.15025192724316,0.9317154761904763,0.16090062554179235
DN,music,F,Exponential,,0.9991071806303644,1.7590649163221446,,5.955674560171554e-05
GA,food,C,Exponential,0.3755754607447408,0.47468152587395396,29.997337477894344,0.916637890625,0.05783648263815848
