id,commodity,condition,model,log_loss,AUC,WAIC,roc_auc,logk,s
JL,food,C,Hyperboloid,0.11422876539472077,0.9558212074665413,10.585629130496406,0.9918604910714286,-4.3361382207843295,0.2603864452302363
BJ,money,C,Hyperboloid,0.17176958173466556,0.7884799742608963,17.306034452002,0.9822692775974026,-1.0347273923777789,0.14328300942778202
PF,food,C,Hyperboloid,0.32139256501833147,0.909372164689676,26.572725436542285,0.9393867063492064,-5.255207888114273,1.2948626935989727
LS,money,C,Hyperboloid,0.3805952440167993,0.9183157719859573,30.358123448812982,0.8933860576923077,-5.095224739098471,0.9961217615014114
DN,money,C,Hyperboloid,,0.9966110305775682,1.6874776712403705,,-6.567076282958497,0.16331369878472338
BF,food,F,Hyperboloid,0.3553091059345528,0.4532163539066264,27.812037637089986,0.9218650793650796,-2.992465650825403,1.6833033976881981
KM,music,C,Hyperboloid,0.32853166721854876,0.6785639514230366,26.355679826694004,0.9353859577922076,-3.304665706564512,0.9828269456559453
SP,food,F,Hyperboloid,0.5092530675653881,0.15314514443869978,40.50743080941899,0.8596429765886288,-1.0568542056412327,1.3751720092216266
RV,money,F,Hyperboloid,0.3167646854359545,0.7453272320255443,26.84571009885799,0.9486418343653251,-3.8640943775512238,1.164524732174781
CM,music,F,Hyperboloid,0.39955817471280414,0.17527758056802678,31.36024869966389,0.904178125,-1.3957056623145518,1.5077630653529244
FD,music,C,Hyperboloid,0.2782560133271279,0.4709363780345206,22.594553034782667,0.9484373065015481,-3.2980304951307975,2.0213516884795895
RR,money,F,Hyperboloid,0.46011660806437116,0.7317473551087981,36.84583647734831,0.8609750000000002,-3.2580446789371913,0.754322785498045
RV,food,F,Hyperboloid,0.42163300417692307,0.011494377346823742,33.58612653639247,0.8514081790123454,1.8304358004653114,1.4153061802519369
SE,music,F,Hyperboloid,0.3475509376732253,0.15235799912145964,28.21402470794912,0.9167309090909092,-1.101410346824578,1.4141033309576128
EM,food,C,Hyperboloid,0.3021072179358009,0.9448335331224487,24.715528537916516,0.9417612847222224,-5.375672842336213,0.8623627589049904
RR,food,F,Hyperboloid,0.43683092813100377,0.050052625948088826,33.86707652933545,0.8369737654320989,-0.13309766531499395,1.6808255312330207
LG,money,F,Hyperboloid,0.4499855902830637,0.3683253870400437,35.05326960498066,0.8659415634674922,-2.391574803562521,1.4242530735841312
DD,food,F,Hyperboloid,0.36898693110837744,0.25316563062864444,29.92594628082588,0.930010515873016,-1.7358171373050288,1.3656029954114743
DN,music,F,Hyperboloid,,0.9969217578562135,1.662898796776099,,-6.651444831651863,0.16118616420441967
GA,food,C,Hyperboloid,0.39487362035535345,0.46052672020379015,35.54818935441354,0.91613515625,-2.7158729457984427,1.3385002200002223
LD,money,F,Hyperboloid,0.33662573666141654,0.9337675099244821,27.501413135486036,0.9264422743055555,-5.37172547503701,1.0394830058950084
AK,music,C,Hyperboloid,0.3581815573485312,0.7196324603848413,29.142950336331385,0.9244991883116884,-2.840186016620786,0.5810364379890444
PF,music,F,Hyperboloid,0.3283799879758431,0.9355261440788463,26.036313205136427,0.9151209090909093,-5.347238747326914,0.9872100400509368
VS,music,C,Hyperboloid,0.4993503826504131,0.38549906423959035,39.70724567944759,0.8602132352941175,-0.669872287354556,0.5165080803207096
VB,music,C,Hyperboloid,0.4215431453824181,0.8620779040424517,33.32732193959371,0.8876547067901236,-4.689258005012618,1.1990995647677412
DCRD,money,C,Hyperboloid,0.03319752137123292,0.956699518806616,4.349177981888438,0.9994888636363636,-4.15006464512839,0.21620569444676527
SE,money,C,Hyperboloid,0.41404079756527834,0.2031880107227208,33.10927051561849,0.9073388798701298,-1.248837547167296,1.23848470041795
MH,food,F,Hyperboloid,0.3413832651683173,0.43516747817145157,27.687760289172722,0.9367541015624999,-3.0911364029995667,1.9242882274640474
JD,money,F,Hyperboloid,0.23477017486231155,0.6998888894209396,20.746547878522385,0.9625988095238096,-2.64861473579755,0.5519098236230404
JB,money,C,Hyperboloid,0.13208663748633903,0.9913585604250662,11.437819133684798,0.9746944444444441,-5.94706698508763,0.22742348524830094
AF,music,F,Hyperboloid,0.4179222285151827,0.41085829646068195,33.135696332871646,0.8924085648148149,-2.1228102849997845,1.0428866665555412
AT,food,F,Hyperboloid,0.38308578897406964,0.039729285191093575,31.534933253055375,0.7898475694444443,0.411295920081565,1.461630694650355
SD,money,C,Hyperboloid,0.4046307949958803,0.9169509255060242,31.78492829445988,0.8806232638888887,-5.02906909666357,0.9523547342386034
DG,music,C,Hyperboloid,0.38834023551171165,0.5675171299623344,31.03082748047852,0.9106474458204337,-2.415739451055261,0.7684963137401409
DN,food,F,Hyperboloid,0.17970623210822206,0.9885938788438731,15.801405060765594,0.9394438131313133,-6.22124268737516,0.393247153283255
SG,food,F,Hyperboloid,,0.9946076558603674,1.6433034075247053,,-6.331711837398431,0.2063786680864032
JB,music,F,Hyperboloid,0.2748336942303443,0.037901328297053935,22.37533345307286,0.9519228896103894,-0.42340867574938906,2.3188514458662026
VS,money,F,Hyperboloid,0.3451456164959956,0.3782591691181575,27.655993632403078,0.9345808823529413,-1.859647723237292,0.9792404925291286
CC,food,F,Hyperboloid,0.1438348479426994,0.0010790574174019154,11.604711912538473,0.37740714285714283,4.46771633447988,2.0795211512184997
CL,food,F,Hyperboloid,0.4716525030594262,0.5290906842464109,37.418708323820574,0.8711360294117647,-2.273813962243781,0.7938233184435797
SA,money,C,Hyperboloid,0.45819311642602745,0.1946426300784453,35.40830809348052,0.8635531746031748,-1.5080291763619214,1.4853085474843137
GW,money,F,Hyperboloid,0.4888213083293142,0.6329459061671575,38.0208339623715,0.8444296875,-2.628590995269971,0.7071010063561464
RD,music,C,Hyperboloid,0.6201371695592526,0.8260320303279801,48.029520182042695,0.7037604166666668,-3.491564484740783,0.546222587768109
JSL,music,C,Hyperboloid,0.3852750067908606,0.5630358827773698,31.196772820563012,0.9117056640625001,-3.0911347177936928,1.2695783883824545
