id,commodity,condition,model,log_loss,AUC,WAIC,roc_auc,logk,s
JL,food,C,ModifiedRachlin,0.10805106220374651,0.9642884655416886,10.682432433948332,0.9920491071428571,-8.21605746688701,0.5873640347580146
BJ,money,C,ModifiedRachlin,0.11058264474407403,0.8175008157814081,10.927743679976997,0.9932426948051949,-8.579713300734012,0.24560138462346767
PF,food,C,ModifiedRachlin,0.32092873472529293,0.9265021625832839,27.31362657731911,0.9381063492063494,-5.047522807963278,1.0779466997881817
LS,money,C,ModifiedRachlin,0.3879094114293284,0.9174376792716528,31.361374641237703,0.884045673076923,-5.27465177115121,0.9226651205925966
DN,money,C,ModifiedRachlin,,0.9994982745507911,1.958104689250008,,-9.459975562437094,1.1291144046878292
BF,food,F,ModifiedRachlin,0.34548885613643143,0.47669349467906574,27.688972363345197,0.9244119047619049,-2.4082864127719468,1.2390659395234593
KM,music,C,ModifiedRachlin,0.3418317161073121,0.6915877031757598,27.639667222421455,0.9211631493506492,-3.656907479229124,0.7245824809443344
SP,food,F,ModifiedRachlin,0.5468512222031643,0.39601176767515467,42.485719008791314,0.8220696070234115,-1.3451597836464617,0.40670796597393394
RV,money,F,ModifiedRachlin,0.3281527758360176,0.7540233476947792,28.176733050923865,0.9423655185758514,-3.8134249007894514,0.924693330027376
CM,music,F,ModifiedRachlin,0.4143898876895192,0.2228536022806087,32.91480899195034,0.88854140625,-0.9901995372017316,1.0072267576558873
FD,music,C,ModifiedRachlin,0.15844926479366017,0.47857536090192576,16.2482277244129,0.9857565789473683,-2.443125577795854,1.4648680473366966
RR,money,F,ModifiedRachlin,0.46710064771851934,0.6626765838452161,37.290385878789465,0.8667765873015875,-4.823467053905569,0.2847133814515099
RV,food,F,ModifiedRachlin,0.43344612445108543,0.16292316408197413,34.8772626477689,0.8311224279835391,1.6401431684268557,0.41961673248207676
SE,music,F,ModifiedRachlin,0.3754389304819624,0.2421727677918067,31.07759726305748,0.896620681818182,-0.7869931924697168,0.7685779584155041
EM,food,C,ModifiedRachlin,0.315998484256374,0.9389780895932799,26.08558591785645,0.9341464843750001,-6.066153966487668,0.7994897185864348
RR,food,F,ModifiedRachlin,0.4610647696466316,0.07554501912602223,35.54951780788205,0.8189022633744858,0.6875810752631851,0.9458156097458146
LG,money,F,ModifiedRachlin,0.46256526514560914,0.4131803174869328,36.384694503124706,0.8620398606811145,-2.074044525204891,1.0148333295577014
DD,food,F,ModifiedRachlin,0.4006855550778984,0.3686064394100157,33.644969341673324,0.9066692460317463,-1.57076748254015,0.670329967083096
DN,music,F,ModifiedRachlin,,0.9994954511253822,2.012926469053217,,-9.520050401316,1.1179691763225543
GA,food,C,ModifiedRachlin,0.408495111932346,0.4919216048060213,34.10622819076765,0.9054783203125001,-2.4365881027577383,0.9544185438073287
LD,money,F,ModifiedRachlin,0.3455785064561334,0.9348950755628688,28.535729662689793,0.9188506944444444,-5.546201788162943,0.9269255345994875
AK,music,C,ModifiedRachlin,0.3243002831657458,0.6958567268413306,27.140364398411716,0.937992288961039,-4.439959542417118,0.4241064075574437
PF,music,F,ModifiedRachlin,0.35259390617767655,0.902704194739065,28.35577598264517,0.9002713636363637,-5.646425815854891,0.7364370538890603
VS,music,C,ModifiedRachlin,0.45118828036697645,0.5442391276274169,35.476219542995835,0.8995253482972136,-3.4081222344899746,0.17761237062457785
VB,music,C,ModifiedRachlin,0.43487785788966016,0.8617038936279404,34.933065096398636,0.8759351851851852,-4.586944132668765,0.9437660249782127
DCRD,money,C,ModifiedRachlin,0.025964566933558527,0.9602494553419003,3.4119606952104222,0.9997495454545455,-8.170552922494087,0.5716245723194494
SE,money,C,ModifiedRachlin,0.43969245419250336,0.44665322757968023,37.64623674313147,0.8803731737012988,-1.6680763315591016,0.293841266377899
MH,food,F,ModifiedRachlin,0.2583659188082682,0.43921857461807373,22.294005804879404,0.9621050781249999,-2.3067464186654583,1.4975515479197554
JD,money,F,ModifiedRachlin,0.2448638893933267,0.6707565355760376,23.53852198689405,0.9618748015873015,-3.8226748137804716,0.5388464071894615
JB,money,C,ModifiedRachlin,0.134162273788552,0.9978204780999118,11.875026029509186,0.9741868686868684,-9.067846721797387,0.9620802909770348
AF,music,F,ModifiedRachlin,0.43157607779081386,0.5270555840408904,34.37790758332867,0.8760964506172838,-2.6893708872282795,0.4240777120972233
AT,food,F,ModifiedRachlin,0.3914181521693888,0.10407994628227887,31.434514158273593,0.7950329861111111,1.0699455238275948,0.6745036729825798
SD,money,C,ModifiedRachlin,0.41938211874852305,0.9081209322842374,33.19407118893584,0.8641809895833332,-5.478583203098428,0.8065728716456843
DG,music,C,ModifiedRachlin,0.38964918695223544,0.5643312649119725,31.227340582204672,0.9037558049535606,-3.044622594671168,0.4338140861266493
DN,food,F,ModifiedRachlin,0.17427867678825137,0.9943069442793899,15.493351691916104,0.9416704545454546,-8.226257586059651,0.9330392781296787
SG,food,F,ModifiedRachlin,,0.9985854127673058,1.8289322272629425,,-9.12053115334383,1.0235721839673213
JB,music,F,ModifiedRachlin,0.03426981604883872,0.02979809221065472,4.727338074554486,0.9988900162337664,0.6585419432110712,1.7967421287695007
VS,money,F,ModifiedRachlin,0.3441011488392467,0.4627415807474813,27.919560452537905,0.9299253095975232,-2.212807287528845,0.6872494785414275
CC,food,F,ModifiedRachlin,0.1470206333345542,0.0013178165182380856,12.121896724650583,0.37698928571428575,5.579311875288305,1.187141077481063
CL,food,F,ModifiedRachlin,0.46134144826532153,0.597530634995177,37.15108600513282,0.859453560371517,-3.3492577556360295,0.44493347746026346
SA,money,C,ModifiedRachlin,0.47510762511362264,0.2411914279931296,37.18778763994093,0.8497182539682542,-1.095177023266263,0.9883567621265816
GW,money,F,ModifiedRachlin,0.4822081480891965,0.6466975743816896,37.305842101232216,0.832400390625,-4.682769751743898,0.27019902287908354
RD,music,C,ModifiedRachlin,0.6046874997345739,0.656073069822898,46.6402959555671,0.7477013888888889,-4.825498336377386,0.2716151497876068
JSL,music,C,ModifiedRachlin,0.39930951879265875,0.586846277521279,33.39478576660278,0.9019492187500001,-2.915167286690861,0.8818777656216782
JDA,music,C,ModifiedRachlin,0.36843873538331573,0.6464282201581046,26.40561007506229,0.9165766806722686,-4.086944997763076,0.37180304128889674
DG,food,C,ModifiedRachlin,0.222065166439812,0.9757930340801083,18.613287598399477,0.9542479166666668,-8.395455707627322,0.6402108840392129
BD,music,F,ModifiedRachlin,0.5041628564099045,0.5573120686981319,39.180550156304186,0.8283239164086688,-2.9064604224996526,0.510789332262765
CM,food,C,ModifiedRachlin,0.42261707980056906,0.2752150134972858,33.23967089174786,0.8848518668831168,-1.2470011674991088,0.9231837469402319
LS,food,F,ModifiedRachlin,0.44756998274400034,0.7509264461613168,36.079076492368785,0.871978896103896,-4.419176838610736,0.5869614473320203
LS,money,F,ModifiedRachlin,0.4045544388541319,0.9562521792824235,33.04468997370089,0.8961733940972222,-5.1220646811746935,1.297015398695995
SG,food,C,ModifiedRachlin,,0.9985250822919436,1.9749247265155478,,-9.097653113027608,1.0205958710105583
ZZ,food,F,ModifiedRachlin,0.333878363626733,0.14277816618371,27.704118734074736,0.9156394230769229,1.0062165031446266,0.5579124419679854
MH,music,F,ModifiedRachlin,0.43635502371580126,0.486295059394108,37.850614369567566,0.8785942337461301,-2.3815113202448024,0.7834773953524875
JDA,money,C,ModifiedRachlin,0.2519968406661651,0.8670179941632864,18.977882972685155,0.9615101495726492,-4.242604435036314,1.2117790242139417
MK,money,F,ModifiedRachlin,0.5016468654674044,0.7092015578214331,38.70350622888279,0.8170290798611111,-5.786863146121954,0.2678545789197286
CC,money,C,ModifiedRachlin,0.4011216386925959,0.5591983751840935,31.767839136701745,0.8977593750000001,-2.7356573210467694,1.1978903595338644
GW,music,C,ModifiedRachlin,0.325861709873504,0.7731693271881039,27.88265438083489,0.9332483277591973,-4.227784053396917,0.7431332659364273
AH,money,F,ModifiedRachlin,0.2918398533674858,0.9254664398759951,24.608955466113805,0.9480693993506493,-5.933660958731799,0.7636288030937085
MH,money,C,ModifiedRachlin,0.39537671852940626,0.5994538836159751,33.16309069165101,0.8962652863777091,-3.047007392915468,0.7443170467659694
EM,money,F,ModifiedRachlin,0.3243854648667175,0.9958210503950571,26.571586665812593,0.77363525390625,-8.730669560607359,0.9057909673904476
ND,money,F,ModifiedRachlin,0.3625015852999258,0.9543361500970193,31.0413430994424,0.9168532608695652,-5.474208642792208,1.099912194251751
SA,money,F,ModifiedRachlin,0.45735999569079877,0.449476965918182,36.5235001061799,0.8445815217391304,-1.5318128670892448,0.23497644338810636
GA,food,F,ModifiedRachlin,0.3632590740143685,0.23138566444389863,28.97996071408242,0.916268262987013,-1.0613801357027572,1.0179664154960095
SD,money,F,ModifiedRachlin,0.2351663705324542,0.8353693300302456,20.30983439220209,0.9461008522727273,-3.7362702193708155,1.6265284605700308
RD,money,F,ModifiedRachlin,0.5273022432252124,0.627507110203331,40.95424845650134,0.8282589285714286,-3.8165246862783806,0.38471885129510536
AD,music,C,ModifiedRachlin,0.31095902962816213,0.8634000553372526,26.727175762739225,0.9428427353896104,-4.272468043367325,1.1623750492609852
CV,food,F,ModifiedRachlin,0.22043756025723016,0.38816648708916407,24.923540205025862,0.9730489130434783,-0.6342246040858067,0.26074239453419795
CM,food,F,ModifiedRachlin,0.4059553167610367,0.16944415267397167,32.2746243008999,0.8855852842809365,-0.6314573493147423,1.0500024849849257
VB,money,F,ModifiedRachlin,0.3602327512707834,0.8634139907818288,31.337836541317298,0.9212016059027776,-7.226235497131344,0.3922908003214077
ZZ,money,F,ModifiedRachlin,0.3771277467357058,0.298076470184612,30.882062143587778,0.9053598090277778,-0.10351164677085359,0.3826818979500783
FD,food,F,ModifiedRachlin,0.42254331210677376,0.45924025563375326,34.5269214541422,0.902383984375,-1.9233140032733793,0.34028764296429587
VS,food,F,ModifiedRachlin,0.3362870397628477,0.4485004193055216,27.66904886149822,0.9293916396103896,-1.5892648665327864,0.2563577301871893
JLN,money,F,ModifiedRachlin,0.5479661734505674,0.5855351483498514,42.5818403298369,0.7966099206349206,-2.838393246969128,1.2251873084376808
EM,music,C,ModifiedRachlin,0.38077150492409095,0.5188508393656988,33.29921719472639,0.907014274691358,-2.69472302582676,0.26947105990790293
BJ,music,F,ModifiedRachlin,0.2874827477862604,0.7797327295700478,24.738604309013162,0.9528160714285715,-3.671193777514582,1.2545301712500667
LD,food,F,ModifiedRachlin,0.3707900825872093,0.1716141125762975,31.21274704787046,0.9191333198051947,-0.687024772903081,1.079685339974139
AT,money,F,ModifiedRachlin,0.5367441679879942,0.38117330569960617,41.65674128018156,0.7877357859531774,-1.8473180702853171,0.8940035186101767
GW,food,C,ModifiedRachlin,0.653217022377838,0.6170175000387369,49.07568790219349,0.533546153846154,-4.215943296745102,0.268269806894385
MK,music,F,ModifiedRachlin,0.40621135907063144,0.6351819096189523,33.195571202312294,0.9068837301587304,-3.9101961357005592,0.38313145390403003
JD,money,C,ModifiedRachlin,0.3515276074656144,0.6459093565437355,29.87548578592342,0.9241583333333335,-3.679150471934691,0.5043472403825807
AF,food,F,ModifiedRachlin,0.4800113470922387,0.2926804862043776,38.207607757585485,0.7022034722222222,1.1899701150241722,0.2491849218248887
LG,music,F,ModifiedRachlin,0.4154716544014185,0.5288778906792774,33.91623242342862,0.8888173225308642,-2.631838261766585,0.6931421765457283
RV,money,C,ModifiedRachlin,0.33564579347890955,0.6747770220108847,28.96276058027623,0.9293580078124997,-3.664657136051899,0.6381757020290665
ND,food,F,ModifiedRachlin,0.3696274902303496,0.2223542417808145,31.235297542864163,0.9176588541666667,0.8486866917309469,0.3973975503219403
MH,food,C,ModifiedRachlin,0.44286968626026807,0.45113250443810415,35.198437634544234,0.88150234375,-2.011945107803851,0.4925862080851102
VB,music,F,ModifiedRachlin,0.45659455669762306,0.2450517854256551,36.83787816498542,0.8730226393188855,-1.1188158474844132,0.9863154516241526
YVH,food,F,ModifiedRachlin,0.1469715927375663,0.0013179506092519358,11.954702711423732,0.3465303571428571,5.571278264996095,1.1889801545680452
YVH,music,F,ModifiedRachlin,0.29181118626767893,0.0013363579731868302,23.85479336145184,0.523124080882353,5.582975948093755,1.1746976801215574
