A	B	DA	DB	R
5	10	0	60	1
4	10	0	365	1
6	10	0	365	1
8	10	0	365	1
1	10	0	365	1
2	10	0	365	1
5	10	0	365	1
3	10	0	365	1
7	10	0	365	1
1	10	0	180	1
9	10	0	365	0
2	10	0	180	1
3	10	0	180	1
9	10	0	180	0
6	10	0	365	1
8	10	0	365	0
7	10	0	30	1
7	10	0	21	1
7	10	0	14	1
5	10	0	365	1
7	10	0	365	1
7	10	0	0.0416666666666667	1
9	10	0	365	0
7	10	0	0.0833333333333333	1
8	10	0	180	1
9	10	0	180	0
6	10	0	365	1
8	10	0	365	0
7	10	0	180	1
9	10	0	90	0
8	10	0	0.0416666666666667	1
5	10	0	365	1
7	10	0	365	1
8	10	0	0.0833333333333333	1
9	10	0	365	0
8	10	0	90	0
