A	B	DA	DB	R
9	20	0	60	1
9	20	0	180	1
10	20	0	365	1
13	20	0	365	1
1	20	0	365	1
2	20	0	365	1
16	20	0	365	1
3	20	0	365	1
18	20	0	365	1
7	20	0	365	1
17	20	0	365	1
19	20	0	365	1
15	20	0	365	1
14	20	0	365	1
12	20	0	365	1
13	20	0	365	1
11	20	0	365	1
10	20	0	365	1
16	20	0	365	1
18	20	0	180	1
18	20	0	365	1
17	20	0	180	1
17	20	0	365	1
19	20	0	365	1
19	20	0	180	1
15	20	0	365	1
16	20	0	180	1
14	20	0	365	1
15	20	0	180	1
19	20	0	90	1
16	20	0	365	1
18	20	0	180	1
18	20	0	365	1
17	20	0	180	1
17	20	0	365	1
19	20	0	365	1
