A	B	DA	DB	R
9	20	0	60	0
10	20	0	21	0
11	20	0	7	0
9	20	0	5	0
12	20	0	1	0
18	20	0	4	0
13	20	0	0.25	0
10	20	0	0.208333333333333	0
10	20	0	0.0833333333333333	1
14	20	0	1	0
11	20	0	0.25	0
11	20	0	0.125	1
7	20	0	1	0
6	20	0	1	0
9	20	0	0.208333333333333	0
11	20	0	0.0833333333333333	1
10	20	0	0.125	1
9	20	0	0.25	0
8	20	0	0.25	0
10	20	0	0.208333333333333	0
12	20	0	0.125	1
9	20	0	0.125	1
11	20	0	0.208333333333333	0
10	20	0	0.25	0
11	20	0	0.125	1
8	20	0	0.208333333333333	0
7	20	0	0.208333333333333	0
8	20	0	0.125	1
10	20	0	0.125	1
11	20	0	0.0833333333333333	1
9	20	0	0.208333333333333	0
10	20	0	0.208333333333333	0
12	20	0	0.125	1
9	20	0	0.125	0
6	20	0	0.208333333333333	0
10	20	0	0.0833333333333333	1
