A	B	DA	DB	R
9	20	0	60	1
9	20	0	180	1
10	20	0	365	0
13	20	0	90	1
1	20	0	60	1
2	20	0	60	1
11	20	0	365	0
12	20	0	60	1
14	20	0	30	1
12	20	0	365	0
11	20	0	180	1
9	20	0	365	1
13	20	0	365	0
14	20	0	60	0
3	20	0	60	1
2	20	0	90	1
3	20	0	90	1
10	20	0	180	1
11	20	0	365	1
17	20	0	365	0
4	20	0	90	1
4	20	0	60	1
6	20	0	30	1
8	20	0	365	0
6	20	0	180	1
10	20	0	0.0416666666666667	0
15	20	0	365	1
16	20	0	365	0
18	20	0	365	0
14	20	0	365	0
13	20	0	365	0
4	20	0	180	1
2	20	0	180	1
1	20	0	180	1
10	20	0	365	0
8	20	0	365	0
