A	B	DA	DB	R
9	20	0	60	1
9	20	0	180	1
10	20	0	365	1
13	20	0	365	0
1	20	0	90	1
2	20	0	90	1
1	20	0	180	1
2	20	0	180	1
14	20	0	365	0
11	20	0	180	1
15	20	0	365	0
11	20	0	365	1
12	20	0	180	1
12	20	0	365	1
16	20	0	365	0
13	20	0	365	1
17	20	0	365	0
10	20	0	365	1
17	20	0	6	1
9	20	0	365	1
14	20	0	365	0
13	20	0	180	1
16	20	0	0.0416666666666667	1
11	20	0	365	1
15	20	0	365	0
12	20	0	365	1
15	20	0	180	1
13	20	0	365	1
16	20	0	180	1
16	20	0	365	0
17	20	0	180	1
18	20	0	180	0
14	20	0	365	1
17	20	0	365	0
14	20	0	180	1
11	20	0	365	1
