A	B	DA	DB	R
5	10	0	60	0
5	10	0	14	0
5	10	0	6	1
2	10	0	60	1
4	10	0	90	0
6	10	0	60	0
5	10	0	90	0
5	10	0	3	0
9	10	0	30	0
9	10	0	21	0
9	10	0	60	0
6	10	0	2	0
9	10	0	14	0
9	10	0	7	0
9	10	0	6	0
6	10	0	1	0
9	10	0	2	0
6	10	0	0.25	0
9	10	0	1	0
6	10	0	0.208333333333333	1
7	10	0	0.25	0
5	10	0	0.25	0
6	10	0	0.125	1
8	10	0	1	0
5	10	0	0.208333333333333	1
7	10	0	0.208333333333333	0
4	10	0	0.25	0
5	10	0	0.125	0
4	10	0	0.125	0
5	10	0	0.0833333333333333	1
4	10	0	0.0833333333333333	1
6	10	0	0.208333333333333	1
8	10	0	0.25	1
9	10	0	1	1
9	10	0	2	0
8	10	0	1	1
