A	B	DA	DB	R
5	10	0	60	0
5	10	0	14	0
5	10	0	6	0
4	10	0	5	0
9	10	0	7	0
5	10	0	1	1
6	10	0	7	0
4	10	0	21	0
6	10	0	6	0
5	10	0	2	0
6	10	0	0.25	1
4	10	0	2	0
5	10	0	5	0
4	10	0	1	0
5	10	0	0.25	0
9	10	0	6	0
9	10	0	5	0
5	10	0	0.208333333333333	0
9	10	0	2	0
5	10	0	0.125	0
9	10	0	0.25	0
5	10	0	0.0833333333333333	0
5	10	0	0.0416666666666667	1
6	10	0	0.125	0
6	10	0	0.0833333333333333	1
9	10	0	0.208333333333333	0
7	10	0	0.125	0
4	10	0	0.0833333333333333	1
7	10	0	0.0833333333333333	0
4	10	0	0.125	0
6	10	0	0.0416666666666667	0
4	10	0	0.0416666666666667	1
5	10	0	0.125	0
5	10	0	0.0833333333333333	1
5	10	0	0.0416666666666667	1
6	10	0	0.125	1
