A	B	DA	DB	R
9	20	0	60	0
10	20	0	21	0
11	20	0	7	1
7	20	0	30	0
17	20	0	30	0
12	20	0	3	0
19	20	0	21	0
19	20	0	14	0
13	20	0	3	0
19	20	0	7	0
11	20	0	1	0
18	20	0	2	0
12	20	0	0.25	0
13	20	0	0.25	0
11	20	0	0.125	0
10	20	0	0.0833333333333333	0
10	20	0	0.0416666666666667	0
16	20	0	0.0833333333333333	0
7	20	0	0.0416666666666667	0
6	20	0	0.0416666666666667	1
15	20	0	0.0416666666666667	0
9	20	0	0.0416666666666667	0
5	20	0	0.0416666666666667	0
4	20	0	0.0416666666666667	0
8	20	0	0.0416666666666667	0
11	20	0	0.0416666666666667	0
3	20	0	0.0416666666666667	0
12	20	0	0.0416666666666667	0
10	20	0	0.0416666666666667	0
2	20	0	0.0416666666666667	0
7	20	0	0.0416666666666667	0
1	20	0	0.0416666666666667	0
6	20	0	0.0416666666666667	0
9	20	0	0.0416666666666667	0
5	20	0	0.0416666666666667	0
4	20	0	0.0416666666666667	0
